"bibtexkey","year","title","author","editor","journal","proceeding_title","volume","number","issn","isbn","doi","wosid","keywords","type","category"
"RN117",2023,"Information-Processing Dynamics In Neural Networks Of Macaque Cerebral Cortex Reflect Cognitive State And Behavior","Varley, Thomas F;Sporns, Olaf;Schaffelhofer, Stefan;Scherberger, Hansjörg;Dann, Benjamin",NA,"Proceedings of the National Academy of Sciences of the United States of America",NA,"120","2","0027-8424",NA,"10.1073/pnas.2207677120","WOS:001045275000001",NA,"Journal Article","ARTICLE"
"RN136",2021,"Socioeconomic Threats Are More Salient To Farmers Than Environmental Threats","Waldman, K. B.;Giroux, S. A.;Farmer, J. R.;Heaberlin, B. M.;Blekking, J. P.;Todd, P. M.",NA,"Journal of Rural Studies",NA,"86",NA,"0743-0167",NA,"10.1016/j.jrurstud.2021.07.016","WOS:000691215900012",NA,"Journal Article","ARTICLE"
"RN152",2020,"Translational Knowledge Discovery Between Drug Interactions And Pharmacogenetics","Wu, H. Y.;Shendre, A.;Zhang, S. J.;Zhang, P. Y.;Wang, L.;Zeruesenay, D.;Rocha, L. M.;Shatkay, H.;Quinney, S. K.;Ning, X.;Li, L.",NA,"Clinical Pharmacology & Therapeutics",NA,"107","4","0009-9236",NA,"10.1002/cpt.1745","WOS:000510601500001",NA,"Journal Article","ARTICLE"
"RN158",2019,"""The Rippled Perceptions"": The Effects Of Lgbt-Inclusive Tv On Own Attitudes And Perceived Attitudes Of Peers Toward Lesbians And Gays","Yan, H. Y.",NA,"Journalism & Mass Communication Quarterly",NA,"96","3","1077-6990",NA,"10.1177/1077699018821327","WOS:000480252300010",NA,"Journal Article","ARTICLE"
"RN148",2021,"Asymmetrical Perceptions Of Partisan Political Bots","Yan, Harry Yaojun;Yang, Kai-Cheng;Menczer, Filippo;Shanahan, James",NA,"New Media & Society",NA,"23","10","1461-4448",NA,"10.1177/1461444820942744","WOS:000549928600001",NA,"Journal Article","ARTICLE"
"RN143",2021,"The Covid-19 Infodemic: Twitter Versus Facebook","Yang, Kai-Cheng;Pierri, Francesco;Hui, Pik-Mai;Axelrod, David;Torres-Lugo, Christopher;Bryden, John;Menczer, Filippo",NA,"Big Data & Society",NA,"8","1","2053-9517",NA,"10.1177/20539517211013861","WOS:000762387300001",NA,"Journal Article","ARTICLE"
"RN132",2022,"Speech Behavioral Markers Align On Symptom Factors In Psychological Distress","Zhang, Larry;Kolacz, Jacek;Rizzo, Albert;Scherer, Stefan;Soleymani, Mohammad",NA,NA,"10th International Conference On Affective Computing And Intelligent Interaction (Acii)",NA,NA,NA,"978-1-6654-5908-2","10.1109/acii55700.2022.9953849","WOS:000893674200020",NA,"Conference Proceedings","INPROCEEDINGS"
"RN6",2021,"Neuropsychological Test Validation Of Speech Markers Of Cognitive Impairment In The Framingham Cognitive Aging Cohort","Zhang, Larry;Ngo, Anthony;Thomas, Jason A;Burkhardt, Hannah A;Parsey, Carolyn M;Au, Rhoda;Ghomi, Reza Hosseini",NA,"Exploration of medicine",NA,"2",NA,NA,NA,NA,NA,NA,"Journal Article","ARTICLE"
"RN139",2021,"Pornography Use, Two Forms Of Dehumanization, And Sexual Aggression: Attitudes Vs. Behaviors","Zhou, Y. Y.;Liu, T.;Yan, Y. J.;Paul, B.",NA,"Journal of Sex & Marital Therapy",NA,"47","6","0092-623X",NA,"10.1080/0092623x.2021.1923598","WOS:000650473700001",NA,"Journal Article","ARTICLE"
"RN223",2018,"Network Visualization Literacy: Novel Approaches To Measurement And Instruction","Zoss, Angela;Maltese, Adam;Uzzo, Stephen Miles;Börner, Katy",NA,"Network Science In Education: Transformational Approaches in Teaching and Learning",NA,NA,NA,"3319772368",NA,NA,NA,NA,"Journal Article","ARTICLE"
