"id","name","last_name","first_name","match_name","match","verified","group","cohort","pubs","first_year"
34,"Candadai, Madhavun","Candadai","Madhavun","Madhavun Candadai",1,1,"Affiliate","2019",2,2020
35,"Carhart-Harris, Robin","Carhart-Harris","Robin",NA,0,1,"Collaborator",NA,1,2020
36,"Castellano, Claudio","Castellano","Claudio",NA,0,1,"Collaborator",NA,1,2022
37,"Caylor, Kelly K","Caylor","Kelly K",NA,0,1,"Collaborator",NA,1,2023
38,"Chumin, Evgeny J","Chumin","Evgeny J",NA,0,1,"Collaborator",NA,1,2022
39,"Ciampaglia, Giovanni Luca","Ciampaglia","Giovanni Luca",NA,0,1,"Collaborator",NA,1,2018
40,"Cohen, A. M.","Cohen","A. M.",NA,0,1,"Collaborator",NA,1,2018
41,"Correia, Rion Brattig","Correia","Rion Brattig","Rion Correia",1,1,"Affiliate","2018",9,2018
42,"Costa, Felipe Xavier","Costa","Felipe Xavier",NA,0,1,"Collaborator",NA,1,2023
43,"Craig, Michael","Craig","Michael",NA,0,1,"Collaborator",NA,1,2020
44,"Crossley, R. M.","Crossley","R. M.",NA,0,1,"Collaborator",NA,1,2024
45,"Cutts, Sarah A","Cutts","Sarah A",NA,0,1,"Collaborator",NA,1,2022
46,"Dann, Benjamin","Dann","Benjamin",NA,0,1,"Collaborator",NA,1,2023
47,"Daptardar, Santoshmurti S","Daptardar","Santoshmurti S",NA,0,1,"Collaborator",NA,1,2020
48,"de Araújo Kohler, Luciana P","de Araújo Kohler","Luciana P",NA,0,1,"Collaborator",NA,1,2019
49,"DeDeo, S.","DeDeo","S.",NA,0,1,"Collaborator",NA,1,2018
50,"Denny, Vanessa","Denny","Vanessa",NA,0,1,"Collaborator",NA,1,2021
51,"DeVerna, Matthew R","DeVerna","Matthew R",NA,0,1,"Collaborator",NA,1,2021
52,"Duggan, Ben","Duggan","Ben",NA,0,1,"Collaborator",NA,1,2021
53,"Dunivin, Zackary Okun","Dunivin","Zackary Okun","Zackary Dunivin",1,1,"Fellow","2017",3,2018
54,"Edinger, Andy","Edinger","Andy","Andrew Edinger",1,1,"Fellow","2020",2,2022
55,"Erkol, Sirag","Erkol","Sirag",NA,0,1,"Collaborator",NA,1,2024
56,"Esfahlani, Farnaz Zamani","Esfahlani","Farnaz Zamani",NA,0,1,"Collaborator",NA,1,2022
57,"Evans, Tom","Evans","Tom",NA,0,1,"Collaborator",NA,1,2023
58,"Faber, Samantha P","Faber","Samantha P","Samantha Faber",1,1,"Affiliate","2018",1,2019
59,"Farmer, J. R.","Farmer","J. R.",NA,0,1,"Collaborator",NA,1,2021
60,"Faskowitz, Joshua","Faskowitz","Joshua",NA,0,1,"Collaborator",NA,6,2022
61,"Finoia, Paola","Finoia","Paola",NA,0,1,"Collaborator",NA,1,2020
62,"Flammini, Alessandro","Flammini","Alessandro","Alessandro Flammini",1,1,"Faculty",NA,4,2018
63,"Fortunato, Santo","Fortunato","Santo","Santo Fortunato",1,1,"Faculty",NA,2,2023
64,"Fosque, Leandro","Fosque","Leandro",NA,0,1,"Collaborator",NA,1,2024
65,"Freeman, P. R.","Freeman","P. R.",NA,0,1,"Collaborator",NA,1,2019
66,"Fukushima, Makoto","Fukushima","Makoto",NA,0,1,"Collaborator",NA,1,2021
67,"Galis, Zorina S","Galis","Zorina S",NA,0,1,"Collaborator",NA,1,2020
68,"Gates, Alexander J","Gates","Alexander J",NA,0,1,"Collaborator",NA,2,2018
69,"Ghomi, Reza Hosseini","Ghomi","Reza Hosseini",NA,0,1,"Collaborator",NA,1,2021
70,"Gilkes, D. M.","Gilkes","D. M.",NA,0,1,"Collaborator",NA,1,2021
71,"Ginda, Michael","Ginda","Michael",NA,0,1,"Collaborator",NA,1,2019
72,"Giroux, Stacey A.","Giroux","Stacey A.",NA,0,1,"Collaborator",NA,2,2021
73,"Godet, I.","Godet","I.",NA,0,1,"Collaborator",NA,1,2021
74,"Goldstone, Robert","Goldstone","Robert","Rob Goldstone",1,1,"Faculty",NA,1,2022
75,"Gonzales, A. L.","Gonzales","A. L.",NA,0,1,"Collaborator",NA,1,2022
76,"Gonzalez, Marlen Z","Gonzalez","Marlen Z",NA,0,1,"Collaborator",NA,1,2024
77,"Grazia, Maria","Grazia","Maria",NA,0,1,"Collaborator",NA,1,2023
78,"Green Jr, Harold D","Green Jr","Harold D",NA,0,1,"Collaborator",NA,1,2023
79,"Harper, Brian","Harper","Brian",NA,0,1,"Collaborator",NA,1,2020
80,"Havert, Daniel","Havert","Daniel",NA,0,1,"Collaborator",NA,1,2024
81,"Heaberlin, Bradi M","Heaberlin","Bradi M","Bradi Heaberlin",1,1,"Fellow","2019",2,2021
82,"Heiland, R.","Heiland","R.",NA,0,1,"Collaborator",NA,1,2019
83,"Herr, Bruce W","Herr","Bruce W",NA,0,1,"Collaborator",NA,1,2020
84,"Hipólito, Inês","Hipólito","Inês",NA,0,1,"Collaborator",NA,1,2022
85,"Hoel, Erik","Hoel","Erik",NA,0,1,"Collaborator",NA,1,2022
86,"Huang, J.","Huang","J.",NA,0,1,"Collaborator",NA,1,2018
87,"Hui, Pik-Mai","Hui","Pik-Mai",NA,0,1,"Collaborator",NA,2,2021
88,"Ince, Jelani","Ince","Jelani",NA,0,1,"Collaborator",NA,1,2022
89,"Izquierdo, Eduardo J","Izquierdo","Eduardo J","Eduardo Izquierdo",1,1,"Faculty",NA,6,2020
90,"Jensen, Henrik J","Jensen","Henrik J",NA,0,1,"Collaborator",NA,1,2022
91,"Jo, Youngheun","Jo","Youngheun",NA,0,1,"Collaborator",NA,1,2022
92,"Johnson, S.","Johnson","S.",NA,0,1,"Collaborator",NA,1,2024
93,"Jutzeler, Catherine R","Jutzeler","Catherine R",NA,0,1,"Collaborator",NA,1,2024
94,"Kaminski, Patrick","Kaminski","Patrick","Patrick Kaminski",1,1,"Fellow","2019",4,2019
95,"Kennedy, Daniel P","Kennedy","Daniel P",NA,0,1,"Collaborator",NA,1,2023
96,"Kim, Y.","Kim","Y.",NA,0,1,"Collaborator",NA,1,2022
97,"Klimaj, Victoria","Klimaj","Victoria","Victoria Klimaj",1,1,"Fellow","2018",2,2020
98,"Knies, A.","Knies","A.",NA,0,1,"Collaborator",NA,1,2022
99,"Köhn-Luque, Alvaro","Köhn-Luque","Alvaro",NA,0,1,"Collaborator",NA,1,2024
100,"Kolacz, Jacek","Kolacz","Jacek",NA,0,1,"Collaborator",NA,1,2022
101,"Konstantinopoulos, K.","Konstantinopoulos","K.",NA,0,1,"Collaborator",NA,1,2021
102,"Kurtoglu, F.","Kurtoglu","F.",NA,0,1,"Collaborator",NA,1,2021
103,"Lepore, Rosalba","Lepore","Rosalba",NA,0,1,"Collaborator",NA,1,2024
104,"Li, L.","Li","L.",NA,0,1,"Collaborator",NA,1,2020
105,"Liu, J. W.","Liu","J. W.",NA,0,1,"Collaborator",NA,1,2021
106,"Liu, T.","Liu","T.",NA,0,1,"Collaborator",NA,1,2021
107,"Lizier, Joseph T","Lizier","Joseph T",NA,0,1,"Collaborator",NA,1,2022
108,"Lorca, J.","Lorca","J.",NA,0,1,"Collaborator",NA,1,2022
109,"Loynes, Niklas","Loynes","Niklas",NA,0,1,"Collaborator",NA,1,2021
110,"Luppi, Andrea I","Luppi","Andrea I",NA,0,1,"Collaborator",NA,2,2020
111,"Luthra, Mahi","Luthra","Mahi","Mahi Luthra",1,1,"Affiliate","2019",1,2020
112,"Macklin, Paul","Macklin","Paul","Paul Macklin",1,1,"Faculty",NA,4,2019
113,"Makin, D. A.","Makin","D. A.",NA,0,1,"Collaborator",NA,1,2021
114,"Maltese, Adam","Maltese","Adam",NA,0,1,"Collaborator",NA,1,2018
115,"Manicka, Santosh","Manicka","Santosh",NA,0,1,"Collaborator",NA,1,2022
116,"Mankoff, J.","Mankoff","J.",NA,0,1,"Collaborator",NA,1,2020
117,"Marcus, Austin M","Marcus","Austin M",NA,0,1,"Collaborator",NA,1,2023
118,"Marinazzo, Daniele","Marinazzo","Daniele",NA,0,1,"Collaborator",NA,1,2022
119,"Marques-Pita, Manuel","Marques-Pita","Manuel",NA,0,1,"Collaborator",NA,1,2022
120,"Martel, M.","Martel","M.",NA,0,1,"Collaborator",NA,1,2019
121,"Mattos, Mauro M","Mattos","Mauro M",NA,0,1,"Collaborator",NA,2,2019
122,"Mazzilli, Dario","Mazzilli","Dario",NA,0,1,"Collaborator",NA,1,2022
123,"McClinton, K. E.","McClinton","K. E.","Kelly McClinton",1,1,"Fellow","2017",1,2019
124,"Mediano, Pedro AM","Mediano","Pedro AM",NA,0,1,"Collaborator",NA,1,2022
125,"Melo, Emerson","Melo","Emerson","Emerson Melo",1,1,"Faculty",NA,1,2022
126,"Menczer, Filippo","Menczer","Filippo","Filippo Menczer",1,1,"Faculty",NA,5,2018
127,"Menon, David K","Menon","David K",NA,0,1,"Collaborator",NA,3,2020
128,"Merritt, Haily","Merritt","Haily","Haily Merritt",1,1,"Fellow","2020",4,2022
129,"Metzcar, John","Metzcar","John","John Metzcar",1,1,"Fellow","2019",5,2019
130,"Miller, Wendy R","Miller","Wendy R",NA,0,1,"Collaborator",NA,2,2021
131,"Milojević, Staša","Milojevic","Staša","Stasa Milojevic",1,1,"Faculty",NA,2,2019
132,"Min, Aehong","Min","Aehong","Aehong Min",1,1,"Affiliate","2020",3,2021
133,"Naci, Lorina","Naci","Lorina",NA,0,1,"Collaborator",NA,1,2020
134,"Naganobori, Hiroki","Naganobori","Hiroki",NA,0,1,"Collaborator",NA,1,2024
135,"Newman, Ehren L","Newman","Ehren L","Ehren Newman",1,1,"Faculty",NA,3,2019
136,"Ngo, Anthony","Ngo","Anthony",NA,0,1,"Collaborator",NA,1,2021
137,"Ning, X.","Ning","X.",NA,0,1,"Collaborator",NA,1,2020
138,"Notarmuzi, Daniele","Notarmuzi","Daniele",NA,0,1,"Collaborator",NA,1,2022
139,"O’Shea, Lily","O’Shea","Lily",NA,0,1,"Collaborator",NA,1,2024
140,"Odabas, M.","Odabas","M.",NA,0,1,"Collaborator",NA,1,2019
141,"Oser, C. B.","Oser","C. B.",NA,0,1,"Collaborator",NA,1,2019
142,"Owen, Adrian M","Owen","Adrian M",NA,0,1,"Collaborator",NA,1,2020
143,"Pacheco, Diogo","Pacheco","Diogo",NA,0,1,"Collaborator",NA,1,2021
144,"Paolillo, John","Paolillo","John","John Paolillo",1,1,"Faculty",NA,1,2020
145,"Pappas, Ioannis","Pappas","Ioannis",NA,0,1,"Collaborator",NA,1,2020
146,"Parakkattu, Vibin K","Parakkattu","Vibin K",NA,0,1,"Collaborator",NA,1,2022
147,"Park, J.","Park","J.",NA,0,1,"Collaborator",NA,1,2019
148,"Parsey, Carolyn M","Parsey","Carolyn M",NA,0,1,"Collaborator",NA,1,2021
149,"Partain, L. P. B.","Partain","L. P. B.",NA,0,1,"Collaborator",NA,1,2022
150,"Patania, Alice","Patania","Alice",NA,0,1,"Collaborator",NA,1,2021
151,"Patwardhan, Siddharth","Patwardhan","Siddharth",NA,0,1,"Collaborator",NA,2,2023
152,"Paul, B.","Paul","B.",NA,0,1,"Collaborator",NA,1,2021
153,"Perry, Brea L","Perry","Brea L","Brea Perry",1,1,"Faculty",NA,2,2019
154,"Pickard, John","Pickard","John",NA,0,1,"Collaborator",NA,1,2020
155,"Pierri, Francesco","Pierri","Francesco",NA,0,1,"Collaborator",NA,2,2021
156,"Pope, Maria","Pope","Maria","Maria Pope",1,1,"Fellow","2020",6,2021
157,"Puce, Aina","Puce","Aina","Aina Puce",1,1,"Faculty",NA,1,2020
158,"Quinney, S. K.","Quinney","S. K.",NA,0,1,"Collaborator",NA,1,2020
159,"Radicchi, Filippo","Radicchi","Filippo","Filippo Radicchi",1,1,"Faculty",NA,3,2022
160,"Rao, Varun K","Rao","Varun K","Varun Rao",1,1,"Fellow","2020",1,2023
161,"Read, G. L.","Read","G. L.",NA,0,1,"Collaborator",NA,2,2021
162,"Rizzo, Albert","Rizzo","Albert",NA,0,1,"Collaborator",NA,1,2022
163,"Rocha, H. L.","Rocha","H. L.",NA,0,1,"Collaborator",NA,1,2021
164,"Rocha, Luis M","Rocha","Luis M","Luis Rocha",1,1,"Faculty",NA,13,2018
165,"Rojas, Fabio","Rojas","Fabio","Fabio Rojas",1,1,"Faculty",NA,1,2022
166,"Rosas, Fernando E","Rosas","Fernando E",NA,0,1,"Collaborator",NA,1,2022
167,"Roseman, Leor","Roseman","Leor",NA,0,1,"Collaborator",NA,1,2020
168,"Rosenthal, A. M.","Rosenthal","A. M.",NA,0,1,"Collaborator",NA,1,2020
169,"Rouse, William B","Rouse","William B",NA,0,1,"Collaborator",NA,1,2018
170,"Rozum, Jordan C","Rozum","Jordan C",NA,0,1,"Collaborator",NA,1,2023
171,"Ruscone, M.","Ruscone","M.",NA,0,1,"Collaborator",NA,1,2024
172,"Safron, Adam","Safron","Adam",NA,0,1,"Collaborator",NA,2,2020
173,"Sánchez-Valle, Jon","Sánchez-Valle","Jon",NA,0,1,"Collaborator",NA,1,2024
174,"Schaffelhofer, Stefan","Schaffelhofer","Stefan",NA,0,1,"Collaborator",NA,1,2023
175,"Scherberger, Hansjörg","Scherberger","Hansjörg",NA,0,1,"Collaborator",NA,1,2023
176,"Scherer, Stefan","Scherer","Stefan",NA,0,1,"Collaborator",NA,1,2022
177,"Scrivner, Olga","Scrivner","Olga",NA,0,1,"Collaborator",NA,1,2021
178,"Seguin, Caio","Seguin","Caio",NA,0,1,"Collaborator",NA,1,2023
179,"Semivolos, A.","Semivolos","A.",NA,0,1,"Collaborator",NA,1,2022
180,"Severino, Gabriel J","Severino","Gabriel J",NA,0,1,"Collaborator",NA,2,2022
181,"Shanahan, James","Shanahan","James","James Shanahan",1,1,"Faculty",NA,1,2021
182,"Shao, Chengcheng","Shao","Chengcheng",NA,0,1,"Collaborator",NA,1,2018
183,"Shatkay, H.","Shatkay","H.",NA,0,1,"Collaborator",NA,1,2020
184,"Shattuck, Annie","Shattuck","Annie","Annie Shattuck",1,1,"Faculty",NA,1,2023
185,"Shendre, A.","Shendre","A.",NA,0,1,"Collaborator",NA,1,2020
186,"Sherrill, Samantha P","Sherrill","Samantha P",NA,0,1,"Collaborator",NA,2,2020
187,"Shih, Patrick C","Shih","Patrick C",NA,0,1,"Collaborator",NA,2,2021
188,"Shuttleworth, R.","Shuttleworth","R.",NA,0,1,"Collaborator",NA,1,2024
189,"Siek, K.","Siek","K.",NA,0,1,"Collaborator",NA,1,2020
190,"Silva, Filipi Nascimento","Silva","Filipi Nascimento",NA,0,1,"Collaborator",NA,1,2021
191,"Simas, Tiago","Simas","Tiago",NA,0,1,"Collaborator",NA,1,2021
192,"Smalheiser, N. R.","Smalheiser","N. R.",NA,0,1,"Collaborator",NA,1,2018
193,"Soleymani, Mohammad","Soleymani","Mohammad",NA,0,1,"Collaborator",NA,1,2022
194,"Spang, R. L.","Spang","R. L.",NA,0,1,"Collaborator",NA,1,2018
195,"Sporns, Olaf","Sporns","Olaf","Olaf Sporns",1,1,"Faculty",NA,10,2020
196,"Stamatakis, Emmanuel A","Stamatakis","Emmanuel A",NA,0,1,"Collaborator",NA,3,2020
197,"Stanley, H Eugene","Stanley","H Eugene",NA,0,1,"Collaborator",NA,1,2018
198,"Stolting, Lindsay","Stolting","Lindsay",NA,0,1,"Collaborator",NA,1,2023
199,"Stramaglia, Sebastiano","Stramaglia","Sebastiano",NA,0,1,"Collaborator",NA,1,2022
200,"Sydykanova, Medina","Sydykanova","Medina",NA,0,1,"Collaborator",NA,1,2020
201,"Sylva, D.","Sylva","D.",NA,0,1,"Collaborator",NA,1,2020
202,"Talbert, J.","Talbert","J.",NA,0,1,"Collaborator",NA,1,2019
203,"Tanner, Jacob C","Tanner","Jacob C","Jacob Tanner",1,1,"Fellow","2020",2,2022
204,"ten Thij, Marijn","ten Thij","Marijn",NA,0,1,"Collaborator",NA,1,2023
205,"Thomas, Jason A","Thomas","Jason A",NA,0,1,"Collaborator",NA,1,2021
206,"Timme, Nicholas M","Timme","Nicholas M",NA,0,1,"Collaborator",NA,2,2019
207,"Todd, Peter M","Todd","Peter M",NA,0,1,"Collaborator",NA,2,2020
208,"Torres-Lugo, Christopher","Torres-Lugo","Christopher",NA,0,1,"Collaborator",NA,3,2021
209,"Trochim, William","Trochim","William",NA,0,1,"Collaborator",NA,1,2021
210,"Trunfio, Paul","Trunfio","Paul",NA,0,1,"Collaborator",NA,1,2018
211,"Truong, Bao Tran","Truong","Bao Tran","Bao Truong",1,1,"Fellow","2019",2,2021
212,"Tsingos, E.","Tsingos","E.",NA,0,1,"Collaborator",NA,1,2024
213,"Uzzo, Stephen Miles","Uzzo","Stephen Miles",NA,0,1,"Collaborator",NA,1,2018
214,"Valdez, Danny","Valdez","Danny",NA,0,1,"Collaborator",NA,1,2023
215,"Valencia, Alfonso","Valencia","Alfonso",NA,0,1,"Collaborator",NA,1,2024
216,"Varley, Thomas F","Varley","Thomas F","Thomas Varley",1,1,"Fellow","2018",17,2020
217,"Varol, Onur","Varol","Onur",NA,0,1,"Collaborator",NA,1,2018
218,"Vaughn, Z.","Vaughn","Z.",NA,0,1,"Collaborator",NA,1,2022
219,"Waldman, Kurt B","Waldman","Kurt B",NA,0,1,"Collaborator",NA,2,2021
220,"Walsh-Buhi, Eric","Walsh-Buhi","Eric",NA,0,1,"Collaborator",NA,1,2023
221,"Wang, L.","Wang","L.",NA,0,1,"Collaborator",NA,1,2020
222,"Wang, Xuan","Wang","Xuan","Xuan Wang",1,1,"Fellow","2021",2,2018
223,"Wang, Y. F.","Wang","Y. F.",NA,0,1,"Collaborator",NA,1,2019
224,"Weerawongphrom, Naruepon","Weerawongphrom","Naruepon",NA,0,1,"Collaborator",NA,1,2024
225,"Williams, Guy","Williams","Guy",NA,0,1,"Collaborator",NA,1,2020
226,"Willits, D.","Willits","D.",NA,0,1,"Collaborator",NA,1,2021
227,"Wood, Ian B","Wood","Ian B",NA,0,1,"Collaborator",NA,1,2020
228,"Wu, H. Y.","Wu","H. Y.",NA,0,1,"Collaborator",NA,1,2020
229,"Yan, Harry Yaojun","Yan","Harry Yaojun","Harry Yaojun Yan",1,1,"Fellow","2018",6,2019
230,"Yang, Kai-Cheng","Yang","Kai-Cheng","Kaicheng Yang",1,1,"Affiliate","2018",5,2018
231,"Yin, Y.","Yin","Y.",NA,0,1,"Collaborator",NA,1,2024
232,"Zadunayski, L.","Zadunayski","L.",NA,0,1,"Collaborator",NA,1,2020
233,"Zeruesenay, D.","Zeruesenay","D.",NA,0,1,"Collaborator",NA,1,2020
234,"Zhang, Larry","Zhang","Larry","Larry Zhang",1,1,"Fellow","2020",2,2021
235,"Zhang, P. Y.","Zhang","P. Y.",NA,0,1,"Collaborator",NA,1,2020
236,"Zhang, S. J.","Zhang","S. J.",NA,0,1,"Collaborator",NA,1,2020
237,"Zhou, Y. Y.","Zhou","Y. Y.",NA,0,1,"Collaborator",NA,1,2021
238,"Zoss, Angela","Zoss","Angela",NA,0,1,"Collaborator",NA,1,2018
