Source,Target,Group,Weight,Weight_2018,Weight_2019,Weight_2020,Weight_2021,Weight_2022,Weight_2023,Weight_2024
15,141,Faculty-Collaborator,1,0,0,0,0,0,0,1
15,145,Faculty-Collaborator,1,0,0,0,0,1,1,1
15,155,Faculty-Doctoral Fellow,1,0,0,0,0,0,0,1
15,156,Faculty-Faculty,1,0,0,1,1,1,1,1
15,184,Faculty-Collaborator,2,0,0,1,1,2,2,2
15,193,Faculty-Faculty,1,0,0,1,1,1,1,1
15,204,Faculty-Collaborator,2,0,1,2,2,2,2,2
15,214,Faculty-Doctoral Fellow,3,0,0,1,1,2,2,3
15,222,Faculty-Collaborator,1,0,0,0,0,0,0,1
16,18,Collaborator-Collaborator,1,0,0,0,0,0,0,1
16,25,Collaborator-Collaborator,1,0,0,0,0,0,0,1
16,26,Collaborator-Collaborator,1,0,0,0,0,0,0,1
16,44,Collaborator-Collaborator,1,0,0,0,0,0,0,1
16,91,Collaborator-Collaborator,1,0,0,0,0,0,0,1
16,128,Doctoral Fellow-Collaborator,1,0,0,0,0,0,0,1
16,170,Collaborator-Collaborator,1,0,0,0,0,0,0,1
16,186,Collaborator-Collaborator,1,0,0,0,0,0,0,1
16,210,Collaborator-Collaborator,1,0,0,0,0,0,0,1
16,229,Collaborator-Collaborator,1,0,0,0,0,0,0,1
17,34,Doctoral Fellow-Affiliate Student,1,0,0,1,1,1,1,1
17,88,Faculty-Doctoral Fellow,1,0,0,1,1,1,1,1
18,25,Collaborator-Collaborator,1,0,0,0,0,0,0,1
18,26,Collaborator-Collaborator,1,0,0,0,0,0,0,1
18,44,Collaborator-Collaborator,1,0,0,0,0,0,0,1
18,91,Collaborator-Collaborator,1,0,0,0,0,0,0,1
18,128,Doctoral Fellow-Collaborator,1,0,0,0,0,0,0,1
18,170,Collaborator-Collaborator,1,0,0,0,0,0,0,1
18,186,Collaborator-Collaborator,1,0,0,0,0,0,0,1
18,210,Collaborator-Collaborator,1,0,0,0,0,0,0,1
18,229,Collaborator-Collaborator,1,0,0,0,0,0,0,1
19,31,Faculty-Collaborator,1,0,0,0,0,0,1,1
19,38,Faculty-Collaborator,1,0,0,0,0,1,1,1
19,45,Faculty-Collaborator,1,0,0,0,0,1,1,1
19,55,Faculty-Collaborator,1,0,0,0,0,1,1,1
19,59,Faculty-Collaborator,3,0,0,0,0,1,2,3
